// Describes mapping from Unicode Code pointer to Character code in cp852 (['Central and Eastern Europe'])
// [SourceInterval.begin] [SourceInterval.Size]  [TargetInterval.begin] (all in hexidecimal)
0x0 0x80 0x0
0xA0 0x1 0xFF
0xA4 0x1 0xCF
0xA7 0x1 0xF5
0xA8 0x1 0xF9
0xAB 0x1 0xAE
0xAC 0x1 0xAA
0xAD 0x1 0xF0
0xB0 0x1 0xF8
0xB4 0x1 0xEF
0xB8 0x1 0xF7
0xBB 0x1 0xAF
0xC1 0x2 0xB5
0xC4 0x1 0x8E
0xC7 0x1 0x80
0xC9 0x1 0x90
0xCB 0x1 0xD3
0xCD 0x2 0xD6
0xD3 0x1 0xE0
0xD4 0x1 0xE2
0xD6 0x1 0x99
0xD7 0x1 0x9E
0xDA 0x1 0xE9
0xDC 0x1 0x9A
0xDD 0x1 0xED
0xDF 0x1 0xE1
0xE1 0x1 0xA0
0xE2 0x1 0x83
0xE4 0x1 0x84
0xE7 0x1 0x87
0xE9 0x1 0x82
0xEB 0x1 0x89
0xED 0x1 0xA1
0xEE 0x1 0x8C
0xF3 0x1 0xA2
0xF4 0x1 0x93
0xF6 0x1 0x94
0xF7 0x1 0xF6
0xFA 0x1 0xA3
0xFC 0x1 0x81
0xFD 0x1 0xEC
0x102 0x2 0xC6
0x104 0x2 0xA4
0x106 0x1 0x8F
0x107 0x1 0x86
0x10C 0x1 0xAC
0x10D 0x1 0x9F
0x10E 0x1 0xD2
0x10F 0x1 0xD4
0x110 0x1 0xD1
0x111 0x1 0xD0
0x118 0x2 0xA8
0x11A 0x1 0xB7
0x11B 0x1 0xD8
0x139 0x2 0x91
0x13D 0x2 0x95
0x141 0x1 0x9D
0x142 0x1 0x88
0x143 0x2 0xE3
0x147 0x1 0xD5
0x148 0x1 0xE5
0x150 0x2 0x8A
0x154 0x1 0xE8
0x155 0x1 0xEA
0x158 0x2 0xFC
0x15A 0x2 0x97
0x15E 0x1 0xB8
0x15F 0x1 0xAD
0x160 0x2 0xE6
0x162 0x1 0xDD
0x163 0x1 0xEE
0x164 0x2 0x9B
0x16E 0x1 0xDE
0x16F 0x1 0x85
0x170 0x1 0xEB
0x171 0x1 0xFB
0x179 0x1 0x8D
0x17A 0x1 0xAB
0x17B 0x2 0xBD
0x17D 0x2 0xA6
0x2C7 0x1 0xF3
0x2D8 0x1 0xF4
0x2D9 0x1 0xFA
0x2DB 0x1 0xF2
0x2DD 0x1 0xF1
0x2500 0x1 0xC4
0x2502 0x1 0xB3
0x250C 0x1 0xDA
0x2510 0x1 0xBF
0x2514 0x1 0xC0
0x2518 0x1 0xD9
0x251C 0x1 0xC3
0x2524 0x1 0xB4
0x252C 0x1 0xC2
0x2534 0x1 0xC1
0x253C 0x1 0xC5
0x2550 0x1 0xCD
0x2551 0x1 0xBA
0x2554 0x1 0xC9
0x2557 0x1 0xBB
0x255A 0x1 0xC8
0x255D 0x1 0xBC
0x2560 0x1 0xCC
0x2563 0x1 0xB9
0x2566 0x1 0xCB
0x2569 0x1 0xCA
0x256C 0x1 0xCE
0x2580 0x1 0xDF
0x2584 0x1 0xDC
0x2588 0x1 0xDB
0x2591 0x3 0xB0
0x25A0 0x1 0xFE
