// Describes mapping from Unicode Code pointer to Character code in cp855 (['Bulgarian', 'Byelorussian', 'Macedonian', 'Russian', 'Serbian'])
// [SourceInterval.begin] [SourceInterval.Size]  [TargetInterval.begin] (all in hexidecimal)
0x0 0x80 0x0
0xA0 0x1 0xFF
0xA4 0x1 0xCF
0xA7 0x1 0xFD
0xAB 0x1 0xAE
0xAD 0x1 0xF0
0xBB 0x1 0xAF
0x401 0x1 0x85
0x402 0x1 0x81
0x403 0x1 0x83
0x404 0x1 0x87
0x405 0x1 0x89
0x406 0x1 0x8B
0x407 0x1 0x8D
0x408 0x1 0x8F
0x409 0x1 0x91
0x40A 0x1 0x93
0x40B 0x1 0x95
0x40C 0x1 0x97
0x40E 0x1 0x99
0x40F 0x1 0x9B
0x410 0x1 0xA1
0x411 0x1 0xA3
0x412 0x1 0xEC
0x413 0x1 0xAD
0x414 0x1 0xA7
0x415 0x1 0xA9
0x416 0x1 0xEA
0x417 0x1 0xF4
0x418 0x1 0xB8
0x419 0x1 0xBE
0x41A 0x1 0xC7
0x41B 0x1 0xD1
0x41C 0x1 0xD3
0x41D 0x1 0xD5
0x41E 0x1 0xD7
0x41F 0x1 0xDD
0x420 0x1 0xE2
0x421 0x1 0xE4
0x422 0x1 0xE6
0x423 0x1 0xE8
0x424 0x1 0xAB
0x425 0x1 0xB6
0x426 0x1 0xA5
0x427 0x1 0xFC
0x428 0x1 0xF6
0x429 0x1 0xFA
0x42A 0x1 0x9F
0x42B 0x1 0xF2
0x42C 0x1 0xEE
0x42D 0x1 0xF8
0x42E 0x1 0x9D
0x42F 0x1 0xE0
0x430 0x1 0xA0
0x431 0x1 0xA2
0x432 0x1 0xEB
0x433 0x1 0xAC
0x434 0x1 0xA6
0x435 0x1 0xA8
0x436 0x1 0xE9
0x437 0x1 0xF3
0x438 0x1 0xB7
0x439 0x1 0xBD
0x43A 0x1 0xC6
0x43B 0x1 0xD0
0x43C 0x1 0xD2
0x43D 0x1 0xD4
0x43E 0x1 0xD6
0x43F 0x1 0xD8
0x440 0x1 0xE1
0x441 0x1 0xE3
0x442 0x1 0xE5
0x443 0x1 0xE7
0x444 0x1 0xAA
0x445 0x1 0xB5
0x446 0x1 0xA4
0x447 0x1 0xFB
0x448 0x1 0xF5
0x449 0x1 0xF9
0x44A 0x1 0x9E
0x44B 0x1 0xF1
0x44C 0x1 0xED
0x44D 0x1 0xF7
0x44E 0x1 0x9C
0x44F 0x1 0xDE
0x451 0x1 0x84
0x452 0x1 0x80
0x453 0x1 0x82
0x454 0x1 0x86
0x455 0x1 0x88
0x456 0x1 0x8A
0x457 0x1 0x8C
0x458 0x1 0x8E
0x459 0x1 0x90
0x45A 0x1 0x92
0x45B 0x1 0x94
0x45C 0x1 0x96
0x45E 0x1 0x98
0x45F 0x1 0x9A
0x2116 0x1 0xEF
0x2500 0x1 0xC4
0x2502 0x1 0xB3
0x250C 0x1 0xDA
0x2510 0x1 0xBF
0x2514 0x1 0xC0
0x2518 0x1 0xD9
0x251C 0x1 0xC3
0x2524 0x1 0xB4
0x252C 0x1 0xC2
0x2534 0x1 0xC1
0x253C 0x1 0xC5
0x2550 0x1 0xCD
0x2551 0x1 0xBA
0x2554 0x1 0xC9
0x2557 0x1 0xBB
0x255A 0x1 0xC8
0x255D 0x1 0xBC
0x2560 0x1 0xCC
0x2563 0x1 0xB9
0x2566 0x1 0xCB
0x2569 0x1 0xCA
0x256C 0x1 0xCE
0x2580 0x1 0xDF
0x2584 0x1 0xDC
0x2588 0x1 0xDB
0x2591 0x3 0xB0
0x25A0 0x1 0xFE
