// Describes mapping from Unicode Code pointer to Character code in cp866 (['Russian'])
// [SourceInterval.begin] [SourceInterval.Size]  [TargetInterval.begin] (all in hexidecimal)
0x0 0x80 0x0
0xA0 0x1 0xFF
0xA4 0x1 0xFD
0xB0 0x1 0xF8
0xB7 0x1 0xFA
0x401 0x1 0xF0
0x404 0x1 0xF2
0x407 0x1 0xF4
0x40E 0x1 0xF6
0x410 0x30 0x80
0x440 0x10 0xE0
0x451 0x1 0xF1
0x454 0x1 0xF3
0x457 0x1 0xF5
0x45E 0x1 0xF7
0x2116 0x1 0xFC
0x2219 0x1 0xF9
0x221A 0x1 0xFB
0x2500 0x1 0xC4
0x2502 0x1 0xB3
0x250C 0x1 0xDA
0x2510 0x1 0xBF
0x2514 0x1 0xC0
0x2518 0x1 0xD9
0x251C 0x1 0xC3
0x2524 0x1 0xB4
0x252C 0x1 0xC2
0x2534 0x1 0xC1
0x253C 0x1 0xC5
0x2550 0x1 0xCD
0x2551 0x1 0xBA
0x2552 0x2 0xD5
0x2554 0x1 0xC9
0x2555 0x1 0xB8
0x2556 0x1 0xB7
0x2557 0x1 0xBB
0x2558 0x1 0xD4
0x2559 0x1 0xD3
0x255A 0x1 0xC8
0x255B 0x1 0xBE
0x255C 0x1 0xBD
0x255D 0x1 0xBC
0x255E 0x2 0xC6
0x2560 0x1 0xCC
0x2561 0x2 0xB5
0x2563 0x1 0xB9
0x2564 0x2 0xD1
0x2566 0x1 0xCB
0x2567 0x2 0xCF
0x2569 0x1 0xCA
0x256A 0x1 0xD8
0x256B 0x1 0xD7
0x256C 0x1 0xCE
0x2580 0x1 0xDF
0x2584 0x1 0xDC
0x2588 0x1 0xDB
0x258C 0x1 0xDD
0x2590 0x1 0xDE
0x2591 0x3 0xB0
0x25A0 0x1 0xFE
