// Describes mapping from Unicode Code pointer to Character code in koi8_u (['Ukrainian'])
// [SourceInterval.begin] [SourceInterval.Size]  [TargetInterval.begin] (all in hexidecimal)
0x0 0x80 0x0
0xA0 0x1 0x9A
0xA9 0x1 0xBF
0xB0 0x1 0x9C
0xB2 0x1 0x9D
0xB7 0x1 0x9E
0xF7 0x1 0x9F
0x401 0x1 0xB3
0x404 0x1 0xB4
0x406 0x2 0xB6
0x410 0x2 0xE1
0x412 0x1 0xF7
0x413 0x1 0xE7
0x414 0x2 0xE4
0x416 0x1 0xF6
0x417 0x1 0xFA
0x418 0x8 0xE9
0x420 0x4 0xF2
0x424 0x1 0xE6
0x425 0x1 0xE8
0x426 0x1 0xE3
0x427 0x1 0xFE
0x428 0x1 0xFB
0x429 0x1 0xFD
0x42A 0x1 0xFF
0x42B 0x1 0xF9
0x42C 0x1 0xF8
0x42D 0x1 0xFC
0x42E 0x1 0xE0
0x42F 0x1 0xF1
0x430 0x2 0xC1
0x432 0x1 0xD7
0x433 0x1 0xC7
0x434 0x2 0xC4
0x436 0x1 0xD6
0x437 0x1 0xDA
0x438 0x8 0xC9
0x440 0x4 0xD2
0x444 0x1 0xC6
0x445 0x1 0xC8
0x446 0x1 0xC3
0x447 0x1 0xDE
0x448 0x1 0xDB
0x449 0x1 0xDD
0x44A 0x1 0xDF
0x44B 0x1 0xD9
0x44C 0x1 0xD8
0x44D 0x1 0xDC
0x44E 0x1 0xC0
0x44F 0x1 0xD1
0x451 0x1 0xA3
0x454 0x1 0xA4
0x456 0x2 0xA6
0x490 0x1 0xBD
0x491 0x1 0xAD
0x2219 0x2 0x95
0x2248 0x1 0x97
0x2264 0x2 0x98
0x2320 0x1 0x93
0x2321 0x1 0x9B
0x2500 0x1 0x80
0x2502 0x1 0x81
0x250C 0x1 0x82
0x2510 0x1 0x83
0x2514 0x1 0x84
0x2518 0x1 0x85
0x251C 0x1 0x86
0x2524 0x1 0x87
0x252C 0x1 0x88
0x2534 0x1 0x89
0x253C 0x1 0x8A
0x2550 0x3 0xA0
0x2554 0x1 0xA5
0x2557 0x5 0xA8
0x255D 0x5 0xAE
0x2563 0x1 0xB5
0x2566 0x5 0xB8
0x256C 0x1 0xBE
0x2580 0x1 0x8B
0x2584 0x1 0x8C
0x2588 0x1 0x8D
0x258C 0x1 0x8E
0x2590 0x4 0x8F
0x25A0 0x1 0x94
