// Describes mapping from Unicode Code pointer to Character code in mac_greek (['Greek'])
// [SourceInterval.begin] [SourceInterval.Size]  [TargetInterval.begin] (all in hexidecimal)
0x0 0x80 0x0
0xA0 0x1 0xCA
0xA3 0x1 0x92
0xA5 0x1 0xB4
0xA6 0x1 0x9B
0xA7 0x1 0xAC
0xA8 0x1 0x8C
0xA9 0x1 0xA9
0xAB 0x1 0xC7
0xAC 0x1 0xC2
0xAD 0x1 0xFF
0xAE 0x1 0xA8
0xB0 0x1 0xAE
0xB1 0x1 0xB1
0xB2 0x1 0x82
0xB3 0x1 0x84
0xB7 0x1 0xAF
0xB9 0x1 0x81
0xBB 0x1 0xC8
0xBD 0x1 0x97
0xC4 0x1 0x80
0xC9 0x1 0x83
0xD6 0x1 0x85
0xDC 0x1 0x86
0xDF 0x1 0xA7
0xE0 0x1 0x88
0xE2 0x1 0x89
0xE4 0x1 0x8A
0xE7 0x1 0x8D
0xE8 0x1 0x8F
0xE9 0x1 0x8E
0xEA 0x2 0x90
0xEE 0x2 0x94
0xF4 0x1 0x99
0xF6 0x1 0x9A
0xF7 0x1 0xD6
0xF9 0x1 0x9D
0xFB 0x2 0x9E
0x153 0x1 0xCF
0x384 0x1 0x8B
0x385 0x1 0x87
0x386 0x1 0xCD
0x388 0x1 0xCE
0x389 0x2 0xD7
0x38C 0x1 0xD9
0x38E 0x1 0xDA
0x38F 0x1 0xDF
0x390 0x1 0xFD
0x391 0x1 0xB0
0x392 0x1 0xB5
0x393 0x2 0xA1
0x395 0x3 0xB6
0x398 0x1 0xA3
0x399 0x2 0xB9
0x39B 0x1 0xA4
0x39C 0x1 0xBB
0x39D 0x1 0xC1
0x39E 0x1 0xA5
0x39F 0x1 0xC3
0x3A0 0x1 0xA6
0x3A1 0x1 0xC4
0x3A3 0x1 0xAA
0x3A4 0x1 0xC6
0x3A5 0x1 0xCB
0x3A6 0x1 0xBC
0x3A7 0x1 0xCC
0x3A8 0x2 0xBE
0x3AA 0x1 0xAB
0x3AB 0x1 0xBD
0x3AC 0x1 0xC0
0x3AD 0x3 0xDB
0x3B0 0x1 0xFE
0x3B1 0x2 0xE1
0x3B3 0x1 0xE7
0x3B4 0x2 0xE4
0x3B6 0x1 0xFA
0x3B7 0x1 0xE8
0x3B8 0x1 0xF5
0x3B9 0x1 0xE9
0x3BA 0x4 0xEB
0x3BE 0x1 0xEA
0x3BF 0x2 0xEF
0x3C1 0x1 0xF2
0x3C2 0x1 0xF7
0x3C3 0x2 0xF3
0x3C5 0x1 0xF9
0x3C6 0x1 0xE6
0x3C7 0x1 0xF8
0x3C8 0x1 0xE3
0x3C9 0x1 0xF6
0x3CA 0x2 0xFB
0x3CC 0x1 0xDE
0x3CD 0x1 0xE0
0x3CE 0x1 0xF1
0x2013 0x1 0xD0
0x2015 0x1 0xD1
0x2018 0x2 0xD4
0x201C 0x2 0xD2
0x2020 0x1 0xA0
0x2022 0x1 0x96
0x2026 0x1 0xC9
0x2030 0x1 0x98
0x20AC 0x1 0x9C
0x2122 0x1 0x93
0x2248 0x1 0xC5
0x2260 0x1 0xAD
0x2264 0x2 0xB2
