// Describes mapping from Unicode Code pointer to Character code in mac_latin2 (['Central and Eastern Europe'])
// [SourceInterval.begin] [SourceInterval.Size]  [TargetInterval.begin] (all in hexidecimal)
0x0 0x80 0x0
0xA0 0x1 0xCA
0xA3 0x1 0xA3
0xA7 0x1 0xA4
0xA8 0x1 0xAC
0xA9 0x1 0xA9
0xAB 0x1 0xC7
0xAC 0x1 0xC2
0xAE 0x1 0xA8
0xB0 0x1 0xA1
0xB6 0x1 0xA6
0xBB 0x1 0xC8
0xC1 0x1 0xE7
0xC4 0x1 0x80
0xC9 0x1 0x83
0xCD 0x1 0xEA
0xD3 0x2 0xEE
0xD5 0x1 0xCD
0xD6 0x1 0x85
0xDA 0x1 0xF2
0xDC 0x1 0x86
0xDD 0x1 0xF8
0xDF 0x1 0xA7
0xE1 0x1 0x87
0xE4 0x1 0x8A
0xE9 0x1 0x8E
0xED 0x1 0x92
0xF3 0x1 0x97
0xF4 0x1 0x99
0xF5 0x1 0x9B
0xF6 0x1 0x9A
0xF7 0x1 0xD6
0xFA 0x1 0x9C
0xFC 0x1 0x9F
0xFD 0x1 0xF9
0x100 0x2 0x81
0x104 0x1 0x84
0x105 0x1 0x88
0x106 0x2 0x8C
0x10C 0x1 0x89
0x10D 0x1 0x8B
0x10E 0x1 0x91
0x10F 0x1 0x93
0x112 0x2 0x94
0x116 0x1 0x96
0x117 0x1 0x98
0x118 0x1 0xA2
0x119 0x1 0xAB
0x11A 0x2 0x9D
0x122 0x1 0xFE
0x123 0x1 0xAE
0x12A 0x1 0xB1
0x12B 0x1 0xB4
0x12E 0x2 0xAF
0x136 0x1 0xB5
0x137 0x1 0xFA
0x139 0x2 0xBD
0x13B 0x4 0xB9
0x141 0x1 0xFC
0x142 0x1 0xB8
0x143 0x1 0xC1
0x144 0x1 0xC4
0x145 0x2 0xBF
0x147 0x1 0xC5
0x148 0x1 0xCB
0x14C 0x1 0xCF
0x14D 0x1 0xD8
0x150 0x1 0xCC
0x151 0x1 0xCE
0x154 0x2 0xD9
0x156 0x2 0xDF
0x158 0x1 0xDB
0x159 0x1 0xDE
0x15A 0x2 0xE5
0x160 0x1 0xE1
0x161 0x1 0xE4
0x164 0x2 0xE8
0x16A 0x1 0xED
0x16B 0x1 0xF0
0x16E 0x1 0xF1
0x16F 0x5 0xF3
0x179 0x2 0x8F
0x17B 0x1 0xFB
0x17C 0x1 0xFD
0x17D 0x2 0xEB
0x2C7 0x1 0xFF
0x2013 0x2 0xD0
0x2018 0x2 0xD4
0x201A 0x1 0xE2
0x201C 0x2 0xD2
0x201E 0x1 0xE3
0x2020 0x1 0xA0
0x2022 0x1 0xA5
0x2026 0x1 0xC9
0x2039 0x2 0xDC
0x2122 0x1 0xAA
0x2202 0x1 0xB6
0x2206 0x1 0xC6
0x2211 0x1 0xB7
0x221A 0x1 0xC3
0x2260 0x1 0xAD
0x2264 0x2 0xB2
0x25CA 0x1 0xD7
